City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,oyama,36.3,139.8,24.25,50,89,2.68,JP,1696218880
136,igarka,67.4667,86.5833,-1.29,68,32,5.36,RU,1696218881
137,georgetown,5.4112,100.3354,32.19,76,20,3.6,MY,1696218706
138,arteche,12.2645,125.4048,32.07,61,99,3.45,PH,1696218712
139,afaahiti,-17.75,-149.2833,26.93,87,13,6.85,PF,1696218721
140,loures,38.8309,-9.1685,21.34,63,20,1.34,PT,1696218881
141,al harithah,30.7186,47.7208,19.98,40,0,3.09,IQ,1696218881
142,ulsteinvik,62.3432,5.8487,13.75,85,100,4.92,NO,1696218791
143,iqaluit,63.7506,-68.5145,2.85,93,100,3.09,CA,1696218709
144,gannan,47.9147,123.5031,17.6,39,0,0.67,CN,1696218881
145,lamballe,48.4676,-2.5144,16.67,95,91,0.88,FR,1696218881
146,lata,40.1629,-8.3327,15.04,62,0,0.78,PT,1696218882
147,port augusta,-32.5,137.7667,36.7,14,19,9.78,AU,1696218453
148,cabo san lucas,22.8909,-109.9124,30.61,73,0,6.69,MX,1696218308
149,harstad,68.799,16.5293,5.45,95,100,1.34,NO,1696218777
150,quellon,-43.1167,-73.6167,4.13,87,16,0.73,CL,1696218882
151,sola,-13.8833,167.55,27.37,74,100,5.14,VU,1696218779
152,manismata,-2.4667,111.0333,34.18,36,100,2.75,ID,1696218747
153,sitka,57.0531,-135.33,11.94,82,100,4.12,US,1696218710
154,khalkhal,37.6189,48.5258,14.12,54,100,1.92,IR,1696218882
155,ishigaki,24.3448,124.1572,28.07,83,75,9.26,JP,1696218882
156,ta`u,-14.2336,-169.5144,26.61,79,51,8.98,AS,1696218719
157,kununurra,-15.7667,128.7333,36.99,34,7,2.57,AU,1696218883
158,nagqu,31.5,92.0,7.15,73,100,4.13,CN,1696218724
159,enewetak,11.3474,162.3373,28.92,75,94,4.32,MH,1696218743
160,polyarnyy,69.1989,33.4478,3.32,78,100,7.87,RU,1696218701
161,nuku'alofa,-21.1333,-175.2,23.19,53,20,8.23,TO,1696218883
162,brookings,44.3114,-96.7984,25.19,53,0,6.69,US,1696218883
163,valparaiso,-33.0393,-71.6273,14.71,73,75,1.03,CL,1696218705
164,gambiran satu,-8.3939,114.1464,31.04,48,54,3.9,ID,1696218883
165,melo,-32.3667,-54.1833,7.4,96,0,2.8,UY,1696218883
166,ariquemes,-9.9133,-63.0408,27.0,60,98,0.54,BR,1696218884
167,port elizabeth,-33.918,25.5701,15.16,81,0,5.66,ZA,1696218704
168,taoudenni,22.6783,-3.9836,31.02,14,25,4.21,ML,1696218884
169,vadso,70.0744,29.7487,1.49,80,0,4.12,NO,1696218709
170,margate,51.3813,1.3862,16.06,94,98,0.45,GB,1696218772
171,kapuskasing,49.4169,-82.4331,17.05,88,100,3.09,CA,1696218601
172,egilsstadir,65.2653,-14.3948,5.95,93,100,10.8,IS,1696218884
173,kidal,18.4411,1.4078,30.79,27,58,4.59,ML,1696218772
174,rehoboth,-23.3167,17.0833,17.52,17,0,0.99,NA,1696218884
175,viedma,-40.8135,-62.9967,14.95,55,100,7.58,AR,1696218884
176,vershino-darasunskiy,52.35,115.5167,12.59,41,100,3.79,RU,1696218884
177,launceston,-41.45,147.1667,17.8,45,0,10.8,AU,1696218885
178,caleta de carquin,-11.0925,-77.6267,18.87,87,65,5.15,PE,1696218776
179,caluula,11.9661,50.7569,27.6,73,38,0.8,SO,1696218885
180,trincomalee,8.5711,81.2335,30.08,63,90,8.16,LK,1696218760
181,port-vila,-17.7338,168.3219,24.66,66,88,8.34,VU,1696218841
182,labasa,-16.4167,179.3833,25.64,59,91,6.12,FJ,1696218770
183,oberammergau,47.5981,11.0669,12.66,68,33,2.28,DE,1696218885
184,santa cruz,-17.8,-63.1667,24.7,61,98,2.06,BO,1696218607
185,saipan,15.1355,145.701,30.39,84,40,6.69,MP,1696218724
186,gadzhiyevo,69.2551,33.3362,3.11,76,99,7.34,RU,1696218706
187,coquimbo,-29.9533,-71.3436,13.85,76,100,1.03,CL,1696218718
188,coyuca de benitez,17.0333,-100.0667,26.37,90,96,1.47,MX,1696218885
189,sarupathar,26.1984,93.8094,28.41,83,91,1.52,IN,1696218886
190,visby,57.6409,18.296,12.12,93,20,2.06,SE,1696218886
191,holualoa,19.6228,-155.9522,26.91,78,75,5.66,US,1696218755
192,mount darwin,-16.7725,31.5838,19.26,79,6,4.77,ZW,1696218886
193,kodiak,57.79,-152.4072,11.73,66,75,0.0,US,1696218708
194,constantia,44.1833,28.65,15.39,54,47,8.67,RO,1696218646
195,lihue,21.9789,-159.3672,29.58,77,40,6.69,US,1696218711
196,limulunga,-15.0969,23.1376,20.8,43,16,1.86,ZM,1696218886
197,san borja,-14.8167,-66.85,25.53,79,99,2.08,BO,1696218886
198,envira,-7.3,-70.2167,22.53,98,100,0.62,BR,1696218886
199,atafu village,-8.5421,-172.5159,28.93,70,28,3.73,TK,1696218706
200,at taj,24.2049,23.2857,24.99,34,100,3.55,LY,1696218790
201,fortuna,40.5982,-124.1573,12.74,93,100,2.06,US,1696218780
202,sisimiut,66.9395,-53.6735,0.21,69,81,3.26,GL,1696218887
203,lichinga,-13.3128,35.2406,18.05,68,20,5.81,MZ,1696218887
204,yuzhno-kurilsk,44.0306,145.8556,17.99,57,4,5.13,RU,1696218703
205,sciacca,37.5082,13.0881,20.57,55,0,1.71,IT,1696218887
206,remire-montjoly,4.9167,-52.2667,27.02,83,20,1.03,GF,1696218714
207,scarborough,54.2797,-0.4044,13.76,90,100,0.45,GB,1696218825
208,dunedin,-45.8742,170.5036,7.67,78,89,13.86,NZ,1696218887
209,meadow lakes,61.6247,-149.6011,8.19,95,100,0.0,US,1696218887
210,la passe,45.5549,-0.8967,18.32,64,9,3.89,FR,1696218739
211,antonio enes,-16.2325,39.9086,22.64,83,4,1.43,MZ,1696218766
212,yushu,44.8,126.5333,18.09,41,0,3.78,CN,1696218888
213,trinidad,-14.8333,-64.9,27.61,59,100,2.29,BO,1696218888
214,haiku-pauwela,20.9219,-156.3051,28.01,67,40,9.77,US,1696218737
215,kayangel,8.0823,134.7173,28.42,74,92,1.24,PW,1696218888
216,turtas,58.9417,69.1325,10.04,79,36,5.17,RU,1696218709
217,kem',64.9555,34.5793,5.14,86,70,3.3,RU,1696218888
218,quillacollo,-17.4,-66.2833,20.04,42,40,2.57,BO,1696218888
219,kyzyl,51.7,94.45,6.12,60,1,1.79,RU,1696218888
220,port alfred,-33.5906,26.891,12.32,87,2,1.79,ZA,1696218722
221,dadukou,26.5479,101.7054,29.23,58,57,1.4,CN,1696218888
222,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,88,100,7.0,RU,1696218659
223,tolanaro,-25.0319,46.9987,23.04,60,20,3.09,MG,1696218735
224,alofi,-19.0595,-169.9187,23.94,64,75,9.26,NU,1696218889
225,tuban,-6.8976,112.0649,32.01,47,35,2.44,ID,1696218777
226,uturoa,-16.7333,-151.4333,25.9,82,15,6.76,PF,1696218780
227,guajara mirim,-10.7828,-65.3394,24.7,87,77,0.75,BR,1696218889
228,huazhou,21.6333,110.5833,30.83,66,69,5.21,CN,1696218889
229,lobujya,27.95,86.8167,2.59,98,100,2.42,NP,1696218795
230,singkil,-7.9855,111.4161,33.15,36,7,6.24,ID,1696218889
231,stiens,53.2623,5.7577,16.99,90,75,2.57,NL,1696218889
232,pisco,-13.7,-76.2167,18.34,88,0,7.2,PE,1696218785
233,lincoln city,44.9582,-124.0179,12.61,91,58,0.45,US,1696218890
234,flying fish cove,-10.4217,105.6791,26.82,69,40,7.2,CX,1696218752
235,bondoukou,8.0333,-2.8,21.69,99,96,2.42,CI,1696218890
236,tazacorte,28.629,-17.9293,22.54,83,20,4.12,ES,1696218715
237,chinde,26.8418,88.0763,23.3,65,94,1.84,NP,1696218890
238,mountain home,43.133,-115.6912,9.68,95,100,2.57,US,1696218851
239,oriximina,-1.7656,-55.8661,26.9,53,46,1.5,BR,1696218890
240,nuuk,64.1835,-51.7216,1.6,86,100,2.06,GL,1696218709
241,kingston,17.997,-76.7936,28.53,85,20,3.6,JM,1696218431
